Average_Reward,SEM_Reward,Optimal_Action_Percentage
1.121780661235514676e-01,1.027088123897334920e-01,1.050000000000000000e+01
-1.407510475406811568e-01,1.003003216636566969e-01,8.500000000000000000e+00
-8.644841036550138247e-02,1.017966501616025948e-01,1.200000000000000000e+01
4.625528513041994583e-02,9.950096833386114226e-02,1.100000000000000000e+01
-5.941518666034726476e-02,1.006029640840562234e-01,9.500000000000000000e+00
2.099644284535321093e-01,1.030857741149916185e-01,1.200000000000000000e+01
-1.490171962282702545e-01,1.026858503904727049e-01,7.500000000000000000e+00
1.426498105309280118e-01,9.410622082751272932e-02,1.050000000000000000e+01
9.702463740701582073e-02,9.824232092749976553e-02,1.100000000000000000e+01
-1.417710921696413266e-02,9.795429394435038739e-02,1.300000000000000000e+01
2.950778276256506572e-01,9.984782359899929682e-02,1.300000000000000000e+01
1.943199791981464752e-01,1.026283162246771630e-01,1.550000000000000000e+01
-5.493819161199706841e-02,9.843241474230950139e-02,1.000000000000000000e+01
6.564368090058379790e-02,9.453957593616031663e-02,1.600000000000000000e+01
8.048037250582554258e-02,9.291613702351073090e-02,1.250000000000000000e+01
1.337674597571139601e-01,1.046134526363356049e-01,1.500000000000000000e+01
2.879195821129755251e-01,9.512539028356398196e-02,1.600000000000000000e+01
2.246814804896345441e-01,1.002930162636334194e-01,1.800000000000000000e+01
3.152977191536704415e-01,9.797963951735054466e-02,1.800000000000000000e+01
1.858335607367545272e-01,1.045250686898496761e-01,1.600000000000000000e+01
2.540575221648911364e-01,1.036197049666327114e-01,1.850000000000000000e+01
3.781341809772765794e-01,1.022166631432798872e-01,2.150000000000000000e+01
4.062116457998530272e-01,1.055058634963528391e-01,1.850000000000000000e+01
2.517679688564113394e-01,9.571971586921716735e-02,1.400000000000000178e+01
2.862967292820556287e-01,1.087220745294539964e-01,1.850000000000000000e+01
2.804344399803719856e-01,1.073465871850055875e-01,1.800000000000000000e+01
3.735320608659709607e-01,9.674502999109912960e-02,1.700000000000000000e+01
3.160136392943487804e-01,9.443957832638462391e-02,1.800000000000000000e+01
3.543210969595413928e-01,9.747907889582357877e-02,2.400000000000000000e+01
4.099090264454859911e-01,1.141346902619346376e-01,2.200000000000000000e+01
3.433675552291503563e-01,1.067045424300102907e-01,1.900000000000000000e+01
4.347725274806160667e-01,1.026709015061478131e-01,2.050000000000000000e+01
3.415373253837420964e-01,1.077448332702215517e-01,1.850000000000000000e+01
2.028473828855231753e-01,9.988031694809325345e-02,2.100000000000000000e+01
5.097737668252727561e-01,9.944520851644433890e-02,2.650000000000000000e+01
4.247402840499757692e-01,1.112634890415070271e-01,2.350000000000000000e+01
3.977754516918070027e-01,9.944001900964749563e-02,2.000000000000000000e+01
4.726399339878145645e-01,9.741172590764952954e-02,2.350000000000000000e+01
3.792412371691205597e-01,9.832199685644023301e-02,2.350000000000000000e+01
2.793294881903115590e-01,1.070430990019685252e-01,2.000000000000000000e+01
3.365563574513810718e-01,9.441553318148013241e-02,2.300000000000000000e+01
3.731983103486591347e-01,9.942088058620264512e-02,2.750000000000000355e+01
3.518797359730500562e-01,1.002288516093102766e-01,1.950000000000000000e+01
3.506632320618718324e-01,1.086769268171152852e-01,2.400000000000000000e+01
4.270551944658677601e-01,1.118369512301696095e-01,2.100000000000000000e+01
4.265506965961084473e-01,1.013378947173584899e-01,2.750000000000000355e+01
3.937470019120579701e-01,9.577012338631253618e-02,2.950000000000000000e+01
4.240686922143197535e-01,1.050874079323095706e-01,2.550000000000000000e+01
5.839322591028468512e-01,1.008162099152145885e-01,2.350000000000000000e+01
5.861822818984986361e-01,9.942958520856605420e-02,2.750000000000000355e+01
5.086862729491051782e-01,1.080474987592167507e-01,2.750000000000000355e+01
6.206027661699043962e-01,1.000755860221774485e-01,3.250000000000000000e+01
4.566787276636978254e-01,1.092004416342777229e-01,2.899999999999999645e+01
5.156809209660246918e-01,9.829473050989653848e-02,3.000000000000000000e+01
5.971617292331764526e-01,9.563934928208843445e-02,3.050000000000000000e+01
6.283800513366817331e-01,9.459430005474782355e-02,2.500000000000000000e+01
5.109805510484799473e-01,1.022714025822551026e-01,3.250000000000000000e+01
5.675397457690176672e-01,1.007886645532370812e-01,3.250000000000000000e+01
4.947651371289723543e-01,1.009696406899390914e-01,2.849999999999999645e+01
4.354437010541803987e-01,9.962870709005153258e-02,2.600000000000000000e+01
3.671758120678526027e-01,1.023339172355782617e-01,2.600000000000000000e+01
5.273251355715532496e-01,9.529314076409377277e-02,2.800000000000000355e+01
5.810050790511613883e-01,9.125829518944837682e-02,3.300000000000000000e+01
4.204684580500860358e-01,1.029639707518934522e-01,3.400000000000000000e+01
6.483612172102666271e-01,1.028583014624308289e-01,3.800000000000000000e+01
5.956097223639467142e-01,9.914078511571361441e-02,3.350000000000000000e+01
5.630688720184015006e-01,1.016934286509447588e-01,3.250000000000000000e+01
4.385600436761077359e-01,1.062392239464995808e-01,3.400000000000000000e+01
5.076284791790378614e-01,1.033002651702238373e-01,2.950000000000000000e+01
4.401670783231964590e-01,1.028461095455720509e-01,3.400000000000000000e+01
3.769788829164884003e-01,1.007722780131356105e-01,3.550000000000000000e+01
5.131299278495379257e-01,1.034857458243273881e-01,3.550000000000000000e+01
3.862775830020651613e-01,9.947173936033992803e-02,2.700000000000000000e+01
5.930126560612539732e-01,9.152581811526265543e-02,3.750000000000000000e+01
7.590619271484232433e-01,1.011246163045975838e-01,4.150000000000000000e+01
6.510443321933996330e-01,1.055805815340653819e-01,3.850000000000000000e+01
5.416198739153978980e-01,9.820102034843497529e-02,3.800000000000000000e+01
7.937552085863512907e-01,1.002728814102858412e-01,4.300000000000000000e+01
7.477549084786049294e-01,1.051343043391339133e-01,3.700000000000000000e+01
7.409006275166012401e-01,1.062217523617210307e-01,3.950000000000000000e+01
7.376732685557492175e-01,1.066233629080448608e-01,4.100000000000000000e+01
6.675703290309578097e-01,1.073290085146163114e-01,3.200000000000000000e+01
6.510708911710407776e-01,1.078219797617032127e-01,3.550000000000000000e+01
6.879526451611386317e-01,1.028778059490789987e-01,4.200000000000000000e+01
6.599127635477095577e-01,1.083984493263334958e-01,4.600000000000000000e+01
7.047890503367797432e-01,9.598788093565809032e-02,3.850000000000000000e+01
5.009258017898443605e-01,1.072460360295412890e-01,3.250000000000000000e+01
7.128861341917565042e-01,9.712873271399979913e-02,3.850000000000000000e+01
7.814824906836858043e-01,1.055540641385292189e-01,3.800000000000000000e+01
6.052710613209975055e-01,1.010056574941046587e-01,3.850000000000000000e+01
7.232359579796741045e-01,1.011718783038110803e-01,3.800000000000000000e+01
6.412757825074801854e-01,9.497396973297367317e-02,3.400000000000000000e+01
6.579272134395803828e-01,9.905894833925883713e-02,3.900000000000000000e+01
5.883962287881608910e-01,1.080613355918290386e-01,3.350000000000000000e+01
8.202752646281068483e-01,1.055039367930813710e-01,4.500000000000000000e+01
7.675012727780808897e-01,9.772010291598635934e-02,3.600000000000000000e+01
7.431214196326514365e-01,1.037680418180512848e-01,3.550000000000000000e+01
6.576989399035317874e-01,9.167513198543224273e-02,3.850000000000000000e+01
6.775308938937715242e-01,1.033248194080038512e-01,3.850000000000000000e+01
7.073362105137072087e-01,1.097404739518613587e-01,4.050000000000000000e+01
6.142534161224183498e-01,1.019812511404261379e-01,4.400000000000000000e+01
7.166748687064002921e-01,9.053876812834701915e-02,3.750000000000000000e+01
8.682267844078834784e-01,9.305424106229708003e-02,4.300000000000000000e+01
7.844340243960012948e-01,1.081869620737380966e-01,4.400000000000000000e+01
8.302190144843986097e-01,1.021655128311473454e-01,4.450000000000000000e+01
7.551415152755142079e-01,1.034448652627864562e-01,4.100000000000000000e+01
8.138546209081747307e-01,9.553842740695417390e-02,4.150000000000000000e+01
4.756272357680400575e-01,1.022308221967308250e-01,3.700000000000000000e+01
9.212490225908902541e-01,9.885112062075276929e-02,4.550000000000000000e+01
7.922111169210096504e-01,1.010232749833829546e-01,4.300000000000000000e+01
5.500704617444085454e-01,1.025790705403705205e-01,3.500000000000000000e+01
7.202100609567999578e-01,1.068703859310998067e-01,4.250000000000000000e+01
8.086773649330694091e-01,9.160876632294194521e-02,4.050000000000000000e+01
9.154310925302329149e-01,9.816712591081681871e-02,5.050000000000000000e+01
8.901815736922769062e-01,1.014188676073041057e-01,4.050000000000000000e+01
7.596862171269550545e-01,1.028057458292595955e-01,4.450000000000000000e+01
9.982294163583718127e-01,1.054207957297368242e-01,4.850000000000000000e+01
7.760238132959181856e-01,1.011447613978020965e-01,4.650000000000000000e+01
7.714853735637607901e-01,1.021592905336892454e-01,4.300000000000000000e+01
8.812985519731719730e-01,9.959108513676517838e-02,4.550000000000000000e+01
8.609024095119031106e-01,9.006882415860799351e-02,4.900000000000000000e+01
9.563278367786584022e-01,1.014971243688913560e-01,4.600000000000000000e+01
1.016489684108192515e+00,1.101265372003299020e-01,5.000000000000000000e+01
8.282874168884393207e-01,9.895012496033879501e-02,4.900000000000000000e+01
9.722797163064685888e-01,1.002390059129681099e-01,4.950000000000000000e+01
7.451489295562921944e-01,1.076248922445923878e-01,4.500000000000000000e+01
9.445535295488676208e-01,9.692725910982304127e-02,4.900000000000000000e+01
9.620097524544743983e-01,1.063865334535234602e-01,4.950000000000000000e+01
9.355793860543876184e-01,8.969022909377427633e-02,5.600000000000000711e+01
7.794043872380470583e-01,1.069847768423678736e-01,4.700000000000000000e+01
8.132209957979660286e-01,1.000069736338914661e-01,4.950000000000000000e+01
9.529442322433419044e-01,9.745943223177569448e-02,5.050000000000000000e+01
1.020186306430046930e+00,9.597160444059210649e-02,5.100000000000000000e+01
9.428856695685557954e-01,9.645286624335058789e-02,5.350000000000000000e+01
9.030530305200282770e-01,9.551468250023878448e-02,4.500000000000000000e+01
6.965920532921434649e-01,9.260236058554160987e-02,4.750000000000000000e+01
1.077658458020747112e+00,9.344593660855611550e-02,5.200000000000000000e+01
9.569353150660856455e-01,9.833277986675156845e-02,5.550000000000000711e+01
7.840188833870245233e-01,9.301699846932551252e-02,4.500000000000000000e+01
9.226226248863380608e-01,9.318050226707191852e-02,5.250000000000000000e+01
9.357380880483863184e-01,9.428433696000509956e-02,5.350000000000000000e+01
9.209879540246812546e-01,9.464628278144110451e-02,5.250000000000000000e+01
9.916651606958011289e-01,9.812444164419450998e-02,5.300000000000000000e+01
9.028891794636182411e-01,1.109046710523649282e-01,5.649999999999999289e+01
9.550774658222864755e-01,9.459240319766745730e-02,4.600000000000000000e+01
9.750953786921685573e-01,9.786741912109386821e-02,5.850000000000000000e+01
7.490611578861476882e-01,9.917672081640592496e-02,5.000000000000000000e+01
1.140165809077422043e+00,9.329694751254677398e-02,5.200000000000000000e+01
6.543294147371184755e-01,1.077469138547125366e-01,4.800000000000000000e+01
8.697880790200670509e-01,9.412293578426954299e-02,5.250000000000000000e+01
1.053115464525671063e+00,9.829639822441788022e-02,5.450000000000000711e+01
8.687949623013179190e-01,1.003997228442630174e-01,5.350000000000000000e+01
1.078366792281669539e+00,9.885572193901379090e-02,5.950000000000000000e+01
9.018233471255723277e-01,9.738553004438149641e-02,5.200000000000000000e+01
9.951915308234265956e-01,9.550648749051571240e-02,5.450000000000000711e+01
8.430210613387733032e-01,1.032596256796054629e-01,5.200000000000000000e+01
1.062083533895946896e+00,9.939575609198354755e-02,5.100000000000000000e+01
1.062275722415313428e+00,9.106053974912012294e-02,5.649999999999999289e+01
8.892650178898198199e-01,1.007758542478807140e-01,5.200000000000000000e+01
1.006307870552530348e+00,1.021564961324285675e-01,5.600000000000000711e+01
8.146306527392204178e-01,1.060740716528077443e-01,5.350000000000000000e+01
1.013903334095883624e+00,9.752425869362615907e-02,5.649999999999999289e+01
1.051706405090560237e+00,9.281914646651845402e-02,5.850000000000000000e+01
1.031921920162847117e+00,8.647338924078595834e-02,5.950000000000000000e+01
8.786246271640684169e-01,9.923061623816591126e-02,5.600000000000000711e+01
9.841546554848379369e-01,9.648865163328143590e-02,6.000000000000000000e+01
6.587180352764349101e-01,1.069213576632083440e-01,5.350000000000000000e+01
1.021871317008297364e+00,9.427139170580407790e-02,5.799999999999999289e+01
1.064476574682626353e+00,9.629945244134700821e-02,5.699999999999999289e+01
