Average_Reward,SEM_Reward,Optimal_Action_Percentage
3.570675911865408420e-02,1.042860698966225630e-01,1.250000000000000000e+01
2.237285287631799180e-01,1.036219133206443821e-01,1.950000000000000000e+01
4.353444099487560059e-01,9.324485598452990354e-02,2.100000000000000000e+01
4.844392729189747615e-01,1.047765767182339686e-01,2.350000000000000000e+01
5.713466871104517786e-01,9.526518874251030389e-02,2.700000000000000000e+01
7.552533751895095238e-01,9.915990176560258995e-02,2.750000000000000355e+01
6.488844613683402152e-01,9.551842041661300076e-02,3.000000000000000000e+01
8.025117502730282348e-01,8.646852224883601334e-02,2.899999999999999645e+01
6.910004107624339031e-01,8.753345855669138198e-02,2.950000000000000000e+01
7.379021994512587890e-01,9.293274076717267240e-02,3.150000000000000000e+01
8.809904715195086000e-01,8.880283124013620133e-02,3.050000000000000000e+01
8.165620393698311830e-01,8.394479840945515137e-02,3.200000000000000000e+01
7.650440032288788883e-01,9.408187641395725220e-02,3.250000000000000000e+01
7.598628180710997881e-01,8.184631260858127311e-02,3.350000000000000000e+01
8.875054570021133626e-01,8.829467283199082805e-02,3.500000000000000000e+01
7.833067192451477201e-01,9.383399232061133410e-02,3.600000000000000000e+01
9.715518178843147723e-01,8.167616591373509649e-02,3.400000000000000000e+01
8.581626513304061454e-01,8.077640358853839520e-02,3.600000000000000000e+01
9.997179722445506123e-01,8.930300379192071536e-02,3.800000000000000000e+01
8.938579042137644315e-01,8.903505015246986065e-02,3.550000000000000000e+01
9.386404860535297878e-01,8.817796734996555252e-02,3.900000000000000000e+01
1.018275990576718248e+00,8.570394735034320144e-02,3.750000000000000000e+01
1.137220989140731220e+00,8.979985519741452704e-02,3.900000000000000000e+01
9.323150627789523748e-01,8.379843177446098801e-02,3.850000000000000000e+01
9.894696407077450129e-01,8.817296622822901053e-02,4.000000000000000000e+01
9.964605665959903602e-01,8.702159528814770728e-02,3.800000000000000000e+01
9.219604411545005984e-01,8.800653064031919992e-02,3.850000000000000000e+01
1.036896006352712840e+00,7.722407378975679193e-02,4.050000000000000000e+01
9.689198388117570282e-01,8.918021992053626334e-02,4.000000000000000000e+01
1.037283833099531094e+00,8.836913007341154480e-02,4.100000000000000000e+01
1.028058225289700811e+00,8.758330877137820991e-02,4.050000000000000000e+01
1.056992738063722737e+00,8.946695518634328881e-02,4.000000000000000000e+01
1.081641253230358757e+00,8.792879058352805199e-02,4.100000000000000000e+01
7.905434964327622271e-01,8.866393443840585309e-02,4.100000000000000000e+01
1.133186661777686677e+00,7.884871080340903615e-02,4.250000000000000000e+01
1.069443472002133522e+00,8.841988382307174044e-02,4.100000000000000000e+01
1.041136987404474690e+00,9.284743380239504629e-02,4.300000000000000000e+01
1.075833138206717443e+00,8.839903143520452811e-02,4.450000000000000000e+01
9.422112069587259553e-01,8.685227446533515250e-02,4.350000000000000000e+01
1.046258028152272646e+00,8.040507534958499236e-02,4.450000000000000000e+01
1.009989824956488924e+00,8.509984605904416521e-02,4.500000000000000000e+01
8.410786525970354033e-01,9.296860789837374517e-02,4.150000000000000000e+01
9.576601416472684258e-01,8.709041739959542949e-02,4.550000000000000000e+01
9.099192333826988666e-01,9.641014245022956619e-02,4.250000000000000000e+01
1.069258375429414043e+00,9.701708132570009691e-02,4.400000000000000000e+01
1.055775194453799859e+00,9.328972508490915305e-02,4.550000000000000000e+01
1.043617157101638382e+00,8.954415091509733415e-02,4.750000000000000000e+01
1.066747839625969974e+00,9.310833872511120601e-02,4.750000000000000000e+01
1.114347499958070031e+00,9.546922941545152308e-02,4.600000000000000000e+01
1.105887970360909689e+00,8.582664812533415122e-02,4.450000000000000000e+01
1.226055161239749447e+00,9.062354513309582582e-02,4.700000000000000000e+01
1.186153562799086680e+00,8.086761940640026236e-02,4.850000000000000000e+01
