Average_Reward,SEM_Reward,Optimal_Action_Percentage
6.413969987311055054e-02,1.063846875033991751e-01,9.500000000000000000e+00
-2.063845670770395879e-01,1.005077614866653202e-01,7.000000000000000888e+00
-1.449875253915303419e-01,8.644938943818994415e-02,6.000000000000000000e+00
2.128691678657986669e-02,9.348858688575321929e-02,1.050000000000000000e+01
6.237645368634923276e-02,1.029284160043014845e-01,1.400000000000000178e+01
7.145516178106578464e-02,9.860546470021132326e-02,1.000000000000000000e+01
-5.728322673608077622e-04,1.035197217733195563e-01,1.300000000000000000e+01
2.599854734815378043e-02,1.014100129294109864e-01,1.250000000000000000e+01
-4.057692480346073577e-02,9.965559322651383611e-02,1.400000000000000178e+01
-1.031528859538125009e-01,1.045603177373769371e-01,9.500000000000000000e+00
8.221502683542236678e-02,9.581943843616493039e-02,8.500000000000000000e+00
1.321683731695624531e-01,1.031566518352844825e-01,1.100000000000000000e+01
1.488592822967401696e-01,1.090321037804865972e-01,1.449999999999999822e+01
3.341374684712547505e-02,9.170905396651900243e-02,1.350000000000000000e+01
-6.597066473277986287e-02,1.076091837926016898e-01,9.500000000000000000e+00
2.321169317053377312e-02,1.041902368835340292e-01,1.449999999999999822e+01
2.095221413687137213e-01,9.702816843338817054e-02,8.500000000000000000e+00
2.126368142241288339e-01,1.008768504175930059e-01,1.600000000000000000e+01
2.009915418374333407e-01,1.058089232997085211e-01,1.300000000000000000e+01
1.801439595568380680e-01,1.011443478467911050e-01,1.350000000000000000e+01
1.126974254023926508e-01,9.316649508470782604e-02,1.150000000000000000e+01
2.678256514995857041e-01,9.876038571202970517e-02,1.650000000000000000e+01
2.232777262130328233e-01,9.750702129434749010e-02,1.200000000000000000e+01
6.944934605329526611e-02,9.989154019565937848e-02,1.250000000000000000e+01
2.032349980537084821e-01,9.600367754134013498e-02,1.000000000000000000e+01
1.656069255204776214e-01,1.032084026098065849e-01,1.150000000000000000e+01
2.069512818334967585e-01,1.018473988993665313e-01,1.350000000000000000e+01
2.814203854048057396e-01,9.593645688414284556e-02,1.150000000000000000e+01
2.777632464289122582e-01,1.058816083930679275e-01,1.449999999999999822e+01
1.966823202989191055e-01,1.041547691136533449e-01,1.400000000000000178e+01
2.615647565791103246e-01,1.021063691543542956e-01,1.200000000000000000e+01
3.081084395846734325e-01,1.065547027346202130e-01,1.600000000000000000e+01
3.440119986292465848e-01,1.068568252446971817e-01,1.750000000000000000e+01
1.715840526872786376e-01,9.964564459428248977e-02,1.850000000000000000e+01
3.309645578977352676e-01,9.355708919895283637e-02,1.300000000000000000e+01
3.934019827029189842e-01,1.033346630749425454e-01,1.850000000000000000e+01
2.225459288216296849e-01,1.027030254667306713e-01,1.300000000000000000e+01
4.161448500509727921e-01,1.031787392707747275e-01,1.700000000000000000e+01
3.156753630326798454e-01,1.073637967372188529e-01,1.900000000000000000e+01
3.362384796775828577e-01,9.853952508108722308e-02,2.000000000000000000e+01
2.905862349979367321e-01,9.518111862162664805e-02,1.750000000000000000e+01
2.389949464647928012e-01,1.004192020932573454e-01,2.100000000000000000e+01
2.731371154253569022e-01,9.701932733600054926e-02,2.000000000000000000e+01
2.323842028473097066e-01,1.064892027591413104e-01,1.800000000000000000e+01
5.225832471940906609e-01,1.088688752139106292e-01,2.700000000000000000e+01
3.638808114424458839e-01,1.101760619215638448e-01,1.900000000000000000e+01
4.555702942254032939e-01,9.829713083205132707e-02,2.300000000000000000e+01
4.001911589520591450e-01,1.055935316098012416e-01,2.300000000000000000e+01
5.137764348696823857e-01,1.063718187407667742e-01,2.250000000000000000e+01
5.315409776008834797e-01,9.654194772626960297e-02,1.950000000000000000e+01
4.726219887066222536e-01,1.089617569679538628e-01,2.000000000000000000e+01
5.829801611799748651e-01,9.630970571952325587e-02,2.600000000000000000e+01
3.769324440528294407e-01,1.008542308955507893e-01,2.300000000000000000e+01
5.490656865533294351e-01,9.676447496959779404e-02,2.899999999999999645e+01
5.369765146577559767e-01,9.887355344009488012e-02,2.400000000000000000e+01
5.121617702140479622e-01,1.023153355481200844e-01,2.400000000000000000e+01
6.006954453890710477e-01,9.998031740674921675e-02,2.899999999999999645e+01
5.738500658513165931e-01,1.032778088829904295e-01,2.950000000000000000e+01
5.152112766694316726e-01,1.017685806616855509e-01,3.100000000000000000e+01
5.298594149897484229e-01,1.010683024570382949e-01,2.800000000000000355e+01
3.984609433236747100e-01,1.041176993253149635e-01,2.500000000000000000e+01
5.632952957955906781e-01,1.082782090184519208e-01,2.849999999999999645e+01
5.493276234224537813e-01,9.500445459853143482e-02,2.800000000000000355e+01
5.440765684934318891e-01,1.058553408588264744e-01,3.450000000000000000e+01
5.353241237749725157e-01,9.396891219225919634e-02,3.150000000000000000e+01
6.017595269857221041e-01,1.107912547700977274e-01,2.800000000000000355e+01
8.245794045371556136e-01,1.057050715786081174e-01,3.800000000000000000e+01
4.792704040741365135e-01,1.083062916686685084e-01,2.700000000000000000e+01
6.580676953085449199e-01,9.975320416200431084e-02,2.899999999999999645e+01
6.058010018278703335e-01,1.000044630926366501e-01,3.450000000000000000e+01
5.567924704534467084e-01,9.591316696476000214e-02,3.250000000000000000e+01
6.073938622440292479e-01,1.035388479896853231e-01,3.100000000000000000e+01
5.861091812848676641e-01,9.987122156417535535e-02,3.250000000000000000e+01
6.845222396719802260e-01,9.655621549431871176e-02,3.550000000000000000e+01
6.134020985015982141e-01,1.002017699145630047e-01,2.950000000000000000e+01
6.461854022862641989e-01,1.000900202926606614e-01,3.150000000000000000e+01
7.209292201361005015e-01,9.995483362733187382e-02,2.899999999999999645e+01
8.514372277393630339e-01,1.036194629588880478e-01,3.650000000000000000e+01
7.876118506375200390e-01,1.047952509221173334e-01,3.550000000000000000e+01
8.581389402788272003e-01,9.638161629366333305e-02,3.550000000000000000e+01
7.995635761956666476e-01,1.077754834979990917e-01,3.550000000000000000e+01
1.004372279726090333e+00,1.001319858520905576e-01,4.000000000000000000e+01
8.570410337525846689e-01,9.680633834434076990e-02,3.400000000000000000e+01
7.726200227017122613e-01,1.000174294433752303e-01,4.050000000000000000e+01
8.206741577936018661e-01,1.000852787548878048e-01,3.550000000000000000e+01
8.650564441665471449e-01,9.761898484495584727e-02,3.700000000000000000e+01
6.888887110299727334e-01,1.025377999756608982e-01,3.600000000000000000e+01
8.177178201888970488e-01,1.038641948772810047e-01,3.800000000000000000e+01
8.850216395341827802e-01,1.103336658177503926e-01,3.800000000000000000e+01
8.666310867433459908e-01,8.878381102600807484e-02,3.550000000000000000e+01
8.887652517314534872e-01,1.070479348451045393e-01,4.250000000000000000e+01
9.086022796246653321e-01,9.911753310060561484e-02,4.000000000000000000e+01
9.133682895916267475e-01,9.572497751626647677e-02,4.000000000000000000e+01
8.700743932590593310e-01,9.869965153221139931e-02,4.700000000000000000e+01
9.761464557571968292e-01,9.923962735262152612e-02,4.500000000000000000e+01
9.997242488016518935e-01,9.851768303412342109e-02,3.900000000000000000e+01
9.776599669452845642e-01,9.805700237559543397e-02,4.300000000000000000e+01
8.735937561644193661e-01,9.486471963558995579e-02,4.050000000000000000e+01
8.643869974227871289e-01,1.042711102208205426e-01,4.300000000000000000e+01
1.005329271884477960e+00,9.739692211899557417e-02,4.650000000000000000e+01
8.167181945522754560e-01,1.066215757991981483e-01,4.300000000000000000e+01
9.814860039187842666e-01,9.830659451742489174e-02,4.300000000000000000e+01
1.117921216073617607e+00,1.001454020011976614e-01,4.450000000000000000e+01
9.425059743870213280e-01,1.099195373758254102e-01,4.850000000000000000e+01
9.765513445797620040e-01,9.391251716758174106e-02,4.250000000000000000e+01
9.859088721526430010e-01,9.901266576827619237e-02,4.350000000000000000e+01
9.565350624403217150e-01,9.314797865566547264e-02,4.150000000000000000e+01
8.211816412372249241e-01,1.024475243440980538e-01,4.600000000000000000e+01
1.075359037886703284e+00,9.131183226960731814e-02,5.300000000000000000e+01
9.487318058535413323e-01,1.053992952735577776e-01,4.300000000000000000e+01
9.133186739253570385e-01,9.488573911437690744e-02,4.200000000000000000e+01
1.035509385399782545e+00,9.966768369214164258e-02,4.700000000000000000e+01
1.015654401349924907e+00,9.042735128385642751e-02,4.600000000000000000e+01
1.060741658535627074e+00,8.629005439219490647e-02,4.500000000000000000e+01
1.259874933527319829e+00,9.699238760884715260e-02,4.750000000000000000e+01
1.001315939108996522e+00,9.705678012527077514e-02,4.850000000000000000e+01
1.186257004715702168e+00,9.736127280260845063e-02,4.700000000000000000e+01
1.028170088575825813e+00,9.248355296863500219e-02,5.000000000000000000e+01
1.188942822344529526e+00,8.478318278051351353e-02,5.200000000000000000e+01
1.097287498895480828e+00,9.923006320031217686e-02,4.650000000000000000e+01
9.840298173694017603e-01,9.488330154549062811e-02,4.650000000000000000e+01
1.180021547273544025e+00,9.132842911734234681e-02,4.850000000000000000e+01
1.265823978744507583e+00,1.011548069269304073e-01,4.950000000000000000e+01
9.833197471560392033e-01,9.238501060124165720e-02,4.800000000000000000e+01
1.132521369897050434e+00,8.879666515642924141e-02,4.800000000000000000e+01
1.114897504777970560e+00,9.614038041990688455e-02,4.850000000000000000e+01
1.123494983042817807e+00,9.380726256886708081e-02,5.400000000000000000e+01
1.164633455634971115e+00,9.802830431155762358e-02,5.400000000000000000e+01
9.070092988846455428e-01,9.342181383684108886e-02,4.250000000000000000e+01
1.204494096581084861e+00,9.365178044550104275e-02,5.400000000000000000e+01
1.133575263750989270e+00,8.517649325051897258e-02,5.550000000000000711e+01
1.122732007052041903e+00,9.194019235042182048e-02,5.400000000000000000e+01
1.190984405281886760e+00,9.283982138597779432e-02,4.900000000000000000e+01
1.143000179915363068e+00,9.152932487897293135e-02,5.200000000000000000e+01
1.203189714895874340e+00,9.335485343725344332e-02,5.450000000000000711e+01
1.004066173233130410e+00,9.133103629780059407e-02,5.050000000000000000e+01
1.255785977570354151e+00,9.596033735089670724e-02,5.150000000000000000e+01
1.123626967800577914e+00,9.266854860417032824e-02,5.400000000000000000e+01
1.108511908348814856e+00,9.252159851938603075e-02,5.699999999999999289e+01
1.085655890658003164e+00,9.113518030182990448e-02,5.300000000000000000e+01
1.199810351166982425e+00,8.913163630826941020e-02,5.550000000000000711e+01
1.114847970442323533e+00,8.886110331997260081e-02,5.900000000000000000e+01
1.207650702813469756e+00,9.168944002795748061e-02,5.350000000000000000e+01
1.019470422606946869e+00,1.022276731330911542e-01,5.100000000000000000e+01
1.227923335305624253e+00,8.748782011621417110e-02,5.649999999999999289e+01
1.103818706999162291e+00,9.839381542124993330e-02,5.400000000000000000e+01
9.921264271653966738e-01,9.514815649303190459e-02,5.350000000000000000e+01
1.446286607579036820e+00,8.760857706462642225e-02,5.850000000000000000e+01
9.424492609732062487e-01,1.007845130628103186e-01,5.150000000000000000e+01
1.112275798436580754e+00,9.240469462766388864e-02,5.600000000000000711e+01
1.272576582431528713e+00,8.115991457967675071e-02,5.500000000000000711e+01
1.206451061461451202e+00,9.142510296991634977e-02,5.749999999999999289e+01
1.156390617823030986e+00,9.432632813483832201e-02,5.300000000000000000e+01
1.177276507714014375e+00,9.985848258651923437e-02,5.649999999999999289e+01
1.250264798337268335e+00,8.121297432893173629e-02,5.550000000000000711e+01
1.214696328661157843e+00,9.132781101340177454e-02,6.150000000000000000e+01
1.371198691977703943e+00,1.023417832252056792e-01,5.699999999999999289e+01
1.324201938708933657e+00,8.603502203577492735e-02,6.100000000000000000e+01
1.189672023345912377e+00,9.254040492845727606e-02,5.600000000000000711e+01
1.281032460168033182e+00,9.700173337483121438e-02,5.699999999999999289e+01
1.045404521547799392e+00,9.905714596284122264e-02,5.200000000000000000e+01
1.234638020628926913e+00,9.554466494474302130e-02,5.649999999999999289e+01
1.205244695729230431e+00,8.791891297397801119e-02,6.100000000000000000e+01
1.176868255221700243e+00,8.204901855629488650e-02,5.950000000000000000e+01
1.088860301726695567e+00,9.908928454679515052e-02,5.799999999999999289e+01
1.276953863663381705e+00,8.558767947277051702e-02,6.150000000000000000e+01
9.544451128590439870e-01,1.014102577819392115e-01,5.850000000000000000e+01
1.236754743482300523e+00,8.369617040782999229e-02,5.900000000000000000e+01
1.287692151575231758e+00,9.040313055768227357e-02,6.100000000000000000e+01
1.269655118917387249e+00,9.523920160716758954e-02,5.749999999999999289e+01
1.071212945640934500e+00,9.295666951826160596e-02,6.000000000000000000e+01
1.294738822698632497e+00,8.595920354528352458e-02,5.900000000000000000e+01
1.206480586356163842e+00,9.604874120241989333e-02,5.950000000000000000e+01
1.306962148200854212e+00,8.770180233124984237e-02,6.000000000000000000e+01
1.141591047591238084e+00,8.595312816293680658e-02,5.799999999999999289e+01
1.325045750069100192e+00,9.139730379301565233e-02,6.150000000000000000e+01
1.330875409395859243e+00,9.031861800142969299e-02,5.649999999999999289e+01
1.296705789789850405e+00,9.603992962419713453e-02,6.100000000000000000e+01
1.291794843324441722e+00,8.896037549255277066e-02,6.200000000000000000e+01
1.193852429952051430e+00,8.434733046758381703e-02,6.050000000000000000e+01
1.281029019893148213e+00,8.340568420091248880e-02,5.950000000000000000e+01
1.219157343883673361e+00,9.285742316363200521e-02,5.850000000000000000e+01
1.247351890179955847e+00,8.638928368547328651e-02,6.400000000000000000e+01
1.363221917096316016e+00,8.624460812874983062e-02,6.100000000000000000e+01
1.339200573127928839e+00,9.200731390207400606e-02,6.150000000000000000e+01
1.200849060352426001e+00,9.599934355394749985e-02,5.749999999999999289e+01
1.447750690858907507e+00,8.474453615089468095e-02,6.250000000000000000e+01
1.212776636552825860e+00,9.119433506226613806e-02,6.000000000000000000e+01
1.365900506529334812e+00,8.598852763082769080e-02,6.100000000000000000e+01
1.427535712538859691e+00,8.663686482505726649e-02,6.400000000000000000e+01
1.202520627212328108e+00,8.997700526187475678e-02,5.950000000000000000e+01
1.218544832446989856e+00,9.112517557661872769e-02,6.500000000000000000e+01
1.242650759890135737e+00,9.292657977373171285e-02,6.300000000000000000e+01
1.157656780358074622e+00,8.555472977672917700e-02,6.650000000000000000e+01
1.169401340657649557e+00,9.407494580143244134e-02,6.400000000000000000e+01
1.235256489843102878e+00,8.017418325816567937e-02,6.150000000000000000e+01
1.400322981337940309e+00,8.059941756824892667e-02,6.250000000000000000e+01
1.306170206248066901e+00,8.770186947070542083e-02,6.350000000000000000e+01
1.317411194554094056e+00,8.627085204827249221e-02,6.300000000000000000e+01
1.128850431797914888e+00,9.679587655796044465e-02,6.400000000000000000e+01
1.373429146571357728e+00,8.104560942113434030e-02,6.500000000000000000e+01
1.362377295943338895e+00,8.724629476566927999e-02,6.400000000000000000e+01
1.201744097788326249e+00,8.632425122519740701e-02,5.900000000000000000e+01
1.306615975664094487e+00,8.508665480729132868e-02,6.350000000000000000e+01
1.301620528373713892e+00,8.842820102505066782e-02,6.400000000000000000e+01
1.367214541570975772e+00,8.635353375342263993e-02,6.750000000000000000e+01
1.293875106922630414e+00,9.186549074715322227e-02,6.400000000000000000e+01
1.282786894419853718e+00,9.365551595289878239e-02,6.450000000000000000e+01
1.406374731465108718e+00,9.284091120315268730e-02,6.550000000000000000e+01
1.252532470195173664e+00,8.877213407614976959e-02,6.300000000000000000e+01
1.432106912641005092e+00,9.100624421135539155e-02,6.700000000000000000e+01
1.449634346875986912e+00,8.160979038936468088e-02,6.500000000000000000e+01
