Average_Reward,SEM_Reward,Optimal_Action_Percentage
1.168352842410493864e-01,9.909205096431693283e-02,9.000000000000000000e+00
3.849199496119608700e-03,1.091319748828348951e-01,1.050000000000000000e+01
3.828044722886419365e-02,9.732054759910190034e-02,1.050000000000000000e+01
-6.026142781740120857e-02,1.062633996766569611e-01,8.000000000000000000e+00
1.866312032865903234e-02,9.295821456256123105e-02,1.050000000000000000e+01
1.186600964410915865e-01,1.039739284464319541e-01,1.250000000000000000e+01
2.074520605064688605e-01,9.806610559615545897e-02,1.500000000000000000e+01
2.627154589995343570e-01,1.008483351466369221e-01,1.300000000000000000e+01
5.093705413037094565e-02,9.869713360771047161e-02,1.100000000000000000e+01
1.521159583812647098e-01,9.610312826395721320e-02,1.449999999999999822e+01
3.489570573822156629e-01,9.796228255718901490e-02,1.750000000000000000e+01
2.638872485989683936e-01,1.055665978658990450e-01,1.850000000000000000e+01
3.737175258198666139e-01,9.895758399539414385e-02,1.700000000000000000e+01
3.735595852456165544e-01,9.409969318265133664e-02,1.950000000000000000e+01
5.945683147638837207e-01,9.469970237879608843e-02,2.550000000000000000e+01
4.300216703305172472e-01,1.044509604838725209e-01,2.200000000000000000e+01
5.445917390326875385e-01,9.504370191593491946e-02,2.300000000000000000e+01
5.678472707106423378e-01,9.328836323950825959e-02,3.000000000000000000e+01
6.340843811777753247e-01,9.989312192144481073e-02,2.899999999999999645e+01
5.370517607227754953e-01,1.060168009656528437e-01,2.450000000000000000e+01
5.780117121456194162e-01,9.626377559946493190e-02,2.750000000000000355e+01
7.930578988185820188e-01,9.704783399526425991e-02,2.950000000000000000e+01
9.841268810368944964e-01,1.015122751363358444e-01,3.050000000000000000e+01
6.402984538040695783e-01,9.774236479319810267e-02,3.200000000000000000e+01
7.921431542635679612e-01,9.682541734547321644e-02,3.450000000000000000e+01
9.057743414558894202e-01,9.536393785895128095e-02,3.700000000000000000e+01
6.221792922845003071e-01,1.039189635503937892e-01,2.849999999999999645e+01
9.885487646937854977e-01,8.922336399049754507e-02,3.700000000000000000e+01
8.801513426959428621e-01,9.151385455880098330e-02,3.950000000000000000e+01
8.786351495667850120e-01,9.762627371590010261e-02,3.500000000000000000e+01
1.006533662873043466e+00,9.448074144001628039e-02,4.200000000000000000e+01
1.088199798276809016e+00,9.088768046255137067e-02,4.250000000000000000e+01
9.579126504143467002e-01,9.298864590397755425e-02,3.850000000000000000e+01
7.206978515943985864e-01,9.362765349143629956e-02,3.800000000000000000e+01
1.108915309799590299e+00,8.592947917959524451e-02,4.650000000000000000e+01
9.945629692749303752e-01,1.005052735670162040e-01,4.200000000000000000e+01
1.082983099127934112e+00,9.859423681010198726e-02,4.550000000000000000e+01
1.045086054338196790e+00,9.067005057055968487e-02,4.550000000000000000e+01
1.036040960818850554e+00,8.942996333304284451e-02,4.450000000000000000e+01
1.079152723427942773e+00,8.835141800340916285e-02,4.600000000000000000e+01
9.638024176107148344e-01,9.123076985961214858e-02,4.250000000000000000e+01
8.717220634224034370e-01,1.003774282379470834e-01,4.350000000000000000e+01
1.013814550830439476e+00,9.796060699365208291e-02,4.850000000000000000e+01
9.789944625618463014e-01,9.705614214410947238e-02,4.550000000000000000e+01
1.194346351746319312e+00,9.461518319154062218e-02,4.850000000000000000e+01
1.158343422861949357e+00,8.999971242413318251e-02,4.950000000000000000e+01
1.029749662153280454e+00,8.542684299109644386e-02,4.500000000000000000e+01
1.101327924161201288e+00,8.796394903613100058e-02,4.500000000000000000e+01
1.275551424308796866e+00,8.828544594704990089e-02,4.900000000000000000e+01
1.182801651783000008e+00,9.106504226010772585e-02,4.700000000000000000e+01
1.237390677558355856e+00,9.821037177094880943e-02,4.850000000000000000e+01
1.168516319283688931e+00,8.769548096453703978e-02,4.800000000000000000e+01
1.109869708231885577e+00,9.747519087329303833e-02,4.800000000000000000e+01
1.125325829451593540e+00,8.051546283234845003e-02,5.050000000000000000e+01
1.165279237462321094e+00,8.514589821099087519e-02,4.900000000000000000e+01
1.280135483898334980e+00,8.542800012459578207e-02,4.900000000000000000e+01
1.169680010429430483e+00,8.771803822705802334e-02,5.150000000000000000e+01
1.223369661893011884e+00,8.984381013741232769e-02,5.200000000000000000e+01
1.068945128781436660e+00,9.569391542472135970e-02,4.850000000000000000e+01
1.158859964223224015e+00,7.767123132038691868e-02,5.000000000000000000e+01
1.128975865540096546e+00,9.106209117387872864e-02,5.300000000000000000e+01
1.269784480289697592e+00,8.730530168314015738e-02,5.350000000000000000e+01
1.164975931770212414e+00,7.871641210571778124e-02,5.100000000000000000e+01
1.060394172290695991e+00,8.542897020151099530e-02,5.200000000000000000e+01
1.146971882734856285e+00,8.810579233681883893e-02,5.300000000000000000e+01
1.193097064307745203e+00,9.175905806462912595e-02,5.300000000000000000e+01
1.220393694554676944e+00,9.006925128013562598e-02,5.200000000000000000e+01
1.031224512897144674e+00,8.932560089945970616e-02,5.200000000000000000e+01
1.209543939376731991e+00,9.266935055081942929e-02,5.400000000000000000e+01
1.117026858229096087e+00,8.226197413758382093e-02,5.350000000000000000e+01
1.088943469222904747e+00,9.162575738318166907e-02,5.550000000000000711e+01
1.124493124053720372e+00,8.807136661214003126e-02,5.300000000000000000e+01
1.080128994291993605e+00,9.003152576959959352e-02,4.900000000000000000e+01
1.098864361470168971e+00,8.346492893123108603e-02,5.600000000000000711e+01
1.251201213933659018e+00,8.512499660755354358e-02,5.300000000000000000e+01
1.304735420508238208e+00,8.098401001878678673e-02,5.550000000000000711e+01
1.200012095828588476e+00,8.299551576075402115e-02,5.550000000000000711e+01
1.302281804607246629e+00,8.313460784869060316e-02,5.450000000000000711e+01
1.238775311933518530e+00,9.248264124234296946e-02,5.400000000000000000e+01
1.355900164735485802e+00,8.433010812966680592e-02,5.400000000000000000e+01
1.328309592847717324e+00,8.934488107846157157e-02,5.649999999999999289e+01
1.394821546930739453e+00,8.529602406552108662e-02,5.600000000000000711e+01
1.343248317543462633e+00,7.896680485638239710e-02,5.600000000000000711e+01
1.245983190554023068e+00,8.384848345099991940e-02,5.500000000000000711e+01
1.220595178794898317e+00,8.806999735406688401e-02,5.799999999999999289e+01
1.252924361650618490e+00,8.416676896448753442e-02,5.200000000000000000e+01
1.209754387932403308e+00,8.564156187161024725e-02,5.600000000000000711e+01
1.275838962070002580e+00,8.717094471175410031e-02,5.649999999999999289e+01
1.313085723344275868e+00,9.037638609168087422e-02,5.500000000000000711e+01
1.200632910276966170e+00,7.916295859718061600e-02,5.600000000000000711e+01
1.245307226991392957e+00,8.931532631193925265e-02,5.350000000000000000e+01
1.296580703398054979e+00,8.167657996079941141e-02,5.749999999999999289e+01
1.241487827621958973e+00,8.664762234818927655e-02,5.400000000000000000e+01
1.257696010289155231e+00,8.140446080511380689e-02,5.500000000000000711e+01
1.293895041803134749e+00,9.096685451643816978e-02,5.550000000000000711e+01
1.346814881684209375e+00,8.362251225379849218e-02,5.749999999999999289e+01
1.297175899758134410e+00,9.253677406193056010e-02,5.550000000000000711e+01
1.200540500924410114e+00,8.383167698507995591e-02,6.250000000000000000e+01
1.242812159418346107e+00,8.950560738216976897e-02,5.749999999999999289e+01
1.289197495519605718e+00,8.243453804418482411e-02,5.699999999999999289e+01
1.172800422372983764e+00,8.557437413780208391e-02,5.600000000000000711e+01
1.336483179922478559e+00,7.983916814369113046e-02,5.699999999999999289e+01
1.411568282416093556e+00,8.014514042998223398e-02,5.799999999999999289e+01
1.212507918440818511e+00,9.615519698063455800e-02,5.749999999999999289e+01
1.290740933337056084e+00,8.705329225348695799e-02,5.900000000000000000e+01
1.264353504270830264e+00,8.816810855484659426e-02,5.600000000000000711e+01
1.276627485279666185e+00,8.507695835369698256e-02,5.749999999999999289e+01
1.150934331226665552e+00,8.621182177220090836e-02,5.749999999999999289e+01
1.264242963730744629e+00,8.572245861099896114e-02,5.550000000000000711e+01
1.240617057181217175e+00,9.223662487614524286e-02,5.850000000000000000e+01
1.233928992290712401e+00,8.346689932436310300e-02,5.749999999999999289e+01
1.292647141454671411e+00,8.787776360908852724e-02,5.749999999999999289e+01
1.325630189234182188e+00,7.669267544536757797e-02,5.850000000000000000e+01
1.344041889377866728e+00,7.555676933518221117e-02,5.749999999999999289e+01
1.491973265157872097e+00,8.433546729156125854e-02,5.699999999999999289e+01
1.219396461225996209e+00,9.107803767096590841e-02,5.850000000000000000e+01
1.437783825482086719e+00,8.506838237544114834e-02,5.500000000000000711e+01
1.285380161129750176e+00,7.969593976615196862e-02,5.749999999999999289e+01
1.361850869117359419e+00,7.710944133229293007e-02,5.749999999999999289e+01
1.306132200810874000e+00,8.679702490105888069e-02,5.799999999999999289e+01
1.243400069856937851e+00,7.961860563452169415e-02,5.850000000000000000e+01
1.353357975116295187e+00,8.640604817281041794e-02,5.799999999999999289e+01
1.415854427263386173e+00,9.876903755665761286e-02,5.799999999999999289e+01
1.323126676572632832e+00,8.223333671000555845e-02,5.900000000000000000e+01
1.325978378076562159e+00,8.275885081659019316e-02,5.699999999999999289e+01
1.323218914284736814e+00,8.626915386126995933e-02,5.799999999999999289e+01
1.310506139801766778e+00,9.107580147255858738e-02,5.900000000000000000e+01
1.319638724172826905e+00,8.921958692276339697e-02,5.450000000000000711e+01
1.297288853045918344e+00,8.416652439329816437e-02,5.900000000000000000e+01
1.307415150398247183e+00,9.119873962516865384e-02,5.850000000000000000e+01
1.276833212061117218e+00,7.875541823035807354e-02,5.749999999999999289e+01
1.304513955638833878e+00,8.667025002595876715e-02,5.699999999999999289e+01
1.433079977457256682e+00,8.107545160797134665e-02,5.950000000000000000e+01
1.294849249719447259e+00,8.955016288212852560e-02,5.850000000000000000e+01
1.320306963525296418e+00,8.291207581296752838e-02,5.850000000000000000e+01
1.208558254037273016e+00,8.102342872068807322e-02,5.850000000000000000e+01
1.488951411134909808e+00,8.839385081005639300e-02,5.950000000000000000e+01
1.263901952811235185e+00,8.274786854698802652e-02,5.799999999999999289e+01
1.198325571212955465e+00,8.350291005181115223e-02,5.600000000000000711e+01
1.272713424998280551e+00,8.409960754228686108e-02,5.799999999999999289e+01
1.337408695963002936e+00,8.319895723111236929e-02,5.950000000000000000e+01
1.247093253817955549e+00,8.234218924729543032e-02,5.699999999999999289e+01
1.396727499703405817e+00,8.400242401285801241e-02,5.850000000000000000e+01
1.245207069340337203e+00,9.382877495734798234e-02,5.799999999999999289e+01
1.374892798217512979e+00,7.992590322251597046e-02,5.699999999999999289e+01
1.207301534690702116e+00,8.854496903800981866e-02,5.550000000000000711e+01
1.156870619767369046e+00,8.596655030557223687e-02,5.600000000000000711e+01
1.539987946097984395e+00,7.985417803809677362e-02,5.850000000000000000e+01
1.124798519272165231e+00,9.785204319001114537e-02,5.900000000000000000e+01
1.216281750421873475e+00,8.718077909412443038e-02,5.900000000000000000e+01
1.342887929315517592e+00,7.883094941099132169e-02,5.749999999999999289e+01
1.284886573551136779e+00,8.519886407505040948e-02,5.850000000000000000e+01
1.381420526781701019e+00,8.166558055771946933e-02,5.850000000000000000e+01
1.359434095007182819e+00,8.572013443280727951e-02,6.100000000000000000e+01
1.375218872581542406e+00,7.782968077810607788e-02,5.950000000000000000e+01
1.288571817564142963e+00,8.535031552396840637e-02,6.000000000000000000e+01
1.438965802480865142e+00,9.902469404030730948e-02,5.950000000000000000e+01
1.402316964859602111e+00,8.177094150926438043e-02,5.600000000000000711e+01
1.304667073381598819e+00,8.386863705965967586e-02,5.799999999999999289e+01
1.394173689242136360e+00,8.578132484613645858e-02,5.699999999999999289e+01
1.257165948185744231e+00,9.039774124196861549e-02,5.900000000000000000e+01
1.365509915279896180e+00,8.312040104630957771e-02,5.850000000000000000e+01
1.272971597641366248e+00,8.172483065533663049e-02,5.649999999999999289e+01
1.250769400833663614e+00,7.428365701132359777e-02,6.000000000000000000e+01
