Average_Reward,SEM_Reward,Optimal_Action_Percentage
-2.613513947261624989e-02,1.066379732551488158e-01,8.500000000000000000e+00
1.766601283683621737e-01,9.718285893984490720e-02,1.050000000000000000e+01
3.849652307477184898e-01,8.408982993461650013e-02,1.500000000000000000e+01
5.437079412599992168e-01,9.234873969530668636e-02,1.700000000000000000e+01
6.097186934249156920e-01,9.161333317841663382e-02,1.900000000000000000e+01
7.316929956874389518e-01,9.184239194398143014e-02,1.850000000000000000e+01
6.906817955692305944e-01,9.507638685956512625e-02,2.200000000000000000e+01
7.999469220913002498e-01,8.199384919976401842e-02,2.150000000000000000e+01
7.570497733606746937e-01,8.319456235008283740e-02,2.250000000000000000e+01
6.823069169239330822e-01,9.109483146566808853e-02,2.250000000000000000e+01
8.824912518370957581e-01,8.457294517233346354e-02,2.250000000000000000e+01
8.093449111337999158e-01,8.728032029706646322e-02,2.350000000000000000e+01
8.096934186270672296e-01,8.692833698087867877e-02,2.450000000000000000e+01
7.892069837193350645e-01,7.553398301759833844e-02,2.500000000000000000e+01
8.845096390203290859e-01,8.140261626814013218e-02,2.500000000000000000e+01
7.855443569679551041e-01,8.679002515524981975e-02,2.500000000000000000e+01
9.756806760749522356e-01,8.144185589017957638e-02,2.500000000000000000e+01
8.483088756784877837e-01,8.023432159859274215e-02,2.550000000000000000e+01
9.589329311985957949e-01,7.968616122641319910e-02,2.600000000000000000e+01
9.057309733280400899e-01,8.607392213818698679e-02,2.650000000000000000e+01
9.108346752442397776e-01,8.068496363261866422e-02,2.650000000000000000e+01
1.010661784444758293e+00,8.324710623465442216e-02,2.650000000000000000e+01
1.063148367672877681e+00,8.664671080061508990e-02,2.650000000000000000e+01
8.576050948769430304e-01,8.197997419201223657e-02,2.700000000000000000e+01
9.056581697801643349e-01,8.347734842971474278e-02,2.700000000000000000e+01
9.989441431072156874e-01,8.049335106491496694e-02,2.800000000000000355e+01
9.120418131155048069e-01,8.267734604998536185e-02,2.750000000000000355e+01
1.002525988925175415e+00,7.510134977403977452e-02,2.750000000000000355e+01
9.285235684785214660e-01,8.463069382927615458e-02,2.750000000000000355e+01
9.567799415436190058e-01,8.346912478930128276e-02,2.750000000000000355e+01
9.742117312531212159e-01,8.692374337975307397e-02,2.750000000000000355e+01
1.021791912143474645e+00,8.242466389936176085e-02,2.750000000000000355e+01
9.846970951557891816e-01,8.572045893274117534e-02,2.750000000000000355e+01
7.532562562945450679e-01,8.251502712454308885e-02,2.750000000000000355e+01
1.025194889311491053e+00,7.452752458529475488e-02,2.750000000000000355e+01
9.991969542937472193e-01,8.475651562705356634e-02,2.750000000000000355e+01
9.545677344043715928e-01,8.552483169794490581e-02,2.750000000000000355e+01
9.660075835513149967e-01,8.786159209209047638e-02,2.800000000000000355e+01
8.963950474458646234e-01,8.108771516383714295e-02,2.800000000000000355e+01
9.404087277830319724e-01,7.752882662538805592e-02,2.800000000000000355e+01
9.146382442358982345e-01,7.714983088729253369e-02,2.800000000000000355e+01
7.919086488725028961e-01,8.458281601291622875e-02,2.800000000000000355e+01
8.593354139713902384e-01,8.116047977638941868e-02,2.800000000000000355e+01
8.150074048956270634e-01,9.196075470230972992e-02,2.800000000000000355e+01
9.812710748230830671e-01,8.697548100550497874e-02,2.800000000000000355e+01
9.565934649806513423e-01,8.226991410626860457e-02,2.800000000000000355e+01
8.939308231995315435e-01,8.048765927966672340e-02,2.800000000000000355e+01
9.194604944898614463e-01,8.303779828866507395e-02,2.800000000000000355e+01
1.039467195796841548e+00,8.470268957106162622e-02,2.800000000000000355e+01
1.022984069857846734e+00,8.007838617427626149e-02,2.800000000000000355e+01
1.063540990611698156e+00,8.847033458745061363e-02,2.800000000000000355e+01
9.926908247829762111e-01,7.811083946658137211e-02,2.800000000000000355e+01
9.162391681937315235e-01,8.675804687366671375e-02,2.800000000000000355e+01
9.052631641355932679e-01,7.818042461081355088e-02,2.800000000000000355e+01
9.649899093314737719e-01,7.806262496154357799e-02,2.800000000000000355e+01
1.056748159335277437e+00,7.964161468087527229e-02,2.800000000000000355e+01
9.293785397105540635e-01,8.307446829591964843e-02,2.800000000000000355e+01
9.417293755001771016e-01,8.401369154368379388e-02,2.800000000000000355e+01
8.412529423669290463e-01,8.619923764856302073e-02,2.800000000000000355e+01
9.075733510537030702e-01,7.550728352749638828e-02,2.800000000000000355e+01
8.668669240271085208e-01,8.343818214175847958e-02,2.800000000000000355e+01
9.885365483734231962e-01,7.973313184733686609e-02,2.800000000000000355e+01
9.133228244575959387e-01,7.335349877679057939e-02,2.800000000000000355e+01
8.080165172114832650e-01,7.770423656896920106e-02,2.800000000000000355e+01
8.818230581594108664e-01,8.079881940199570844e-02,2.800000000000000355e+01
9.508691108478944942e-01,8.574662053448670052e-02,2.800000000000000355e+01
9.629535129738208132e-01,8.415520178161363385e-02,2.800000000000000355e+01
7.959080736368723263e-01,8.842394686189165853e-02,2.800000000000000355e+01
9.674341273372851768e-01,7.935545873595534205e-02,2.800000000000000355e+01
8.513473129212171253e-01,8.009207271261566119e-02,2.800000000000000355e+01
7.973042035017821050e-01,8.424585574963491807e-02,2.800000000000000355e+01
8.483735028489844954e-01,8.466552265928316279e-02,2.800000000000000355e+01
8.413360476862894455e-01,7.992155772403153335e-02,2.800000000000000355e+01
8.355825532345849682e-01,7.315825203262778242e-02,2.800000000000000355e+01
9.386056398771728260e-01,8.202142458212405285e-02,2.800000000000000355e+01
9.707009828390101847e-01,8.212540116882728614e-02,2.800000000000000355e+01
9.054333407875762019e-01,7.829883754172470289e-02,2.800000000000000355e+01
9.951948739810803080e-01,7.998017281647622212e-02,2.800000000000000355e+01
1.000636450471641403e+00,8.480717871038959133e-02,2.800000000000000355e+01
1.036474027133492681e+00,8.056701784849518155e-02,2.800000000000000355e+01
9.975008492801883397e-01,8.339589865540422697e-02,2.800000000000000355e+01
1.080117559887192158e+00,8.329921075475726910e-02,2.800000000000000355e+01
1.016379831464507388e+00,8.364259266545315263e-02,2.800000000000000355e+01
9.173265887071520019e-01,8.106527528870302590e-02,2.800000000000000355e+01
8.935255861003319477e-01,8.314891974308336042e-02,2.800000000000000355e+01
9.779436768248760403e-01,8.380899377504810732e-02,2.800000000000000355e+01
8.783509487223075674e-01,8.277815103458506518e-02,2.800000000000000355e+01
9.788750701559790768e-01,7.780686832426035593e-02,2.800000000000000355e+01
1.025863835576596550e+00,7.970055250821606041e-02,2.800000000000000355e+01
9.167964197334582677e-01,7.673194559121279679e-02,2.800000000000000355e+01
9.696884904251905635e-01,8.143381982069609892e-02,2.800000000000000355e+01
9.636854619619283913e-01,7.895501104566972350e-02,2.800000000000000355e+01
9.733544685095825155e-01,7.698923602799276344e-02,2.800000000000000355e+01
9.400697561287997273e-01,7.833674631083048512e-02,2.800000000000000355e+01
9.839114985004451253e-01,8.413650837314085029e-02,2.800000000000000355e+01
1.015732535043249563e+00,8.152094319090484598e-02,2.800000000000000355e+01
