Average_Reward,SEM_Reward,Optimal_Action_Percentage
-2.613513947261624989e-02,1.066379732551488158e-01,8.500000000000000000e+00
-2.829366901331313577e-02,9.861881569813175930e-02,8.000000000000000000e+00
-3.218102852731397762e-02,9.864108407253875666e-02,1.050000000000000000e+01
1.140043283575702462e-02,1.045792240322948319e-01,1.000000000000000000e+01
5.453482151334293482e-02,9.811565386617905615e-02,1.150000000000000000e+01
3.438824636527006151e-02,9.118827810979532322e-02,1.000000000000000000e+01
-2.639643410357396525e-02,9.467169139047920678e-02,1.050000000000000000e+01
7.992518105025336883e-02,9.352973953189154532e-02,1.050000000000000000e+01
-1.338544163023324962e-01,9.588821978286983516e-02,8.500000000000000000e+00
-1.492662285022522961e-01,1.066430998830850546e-01,1.200000000000000000e+01
1.102212296955228155e+00,8.906695503579310780e-02,4.150000000000000000e+01
8.988459997625326547e-01,9.082334372066484807e-02,3.600000000000000000e+01
8.803698881903120332e-01,8.719707889056041439e-02,3.550000000000000000e+01
7.403007091701687692e-01,9.070786991066427662e-02,3.000000000000000000e+01
9.073867965204024388e-01,9.630830497347143970e-02,3.550000000000000000e+01
8.079793697382214868e-01,9.573891000034007170e-02,4.450000000000000000e+01
1.088662776218600081e+00,8.458831611944966911e-02,4.450000000000000000e+01
1.030619597117961250e+00,8.517462976927822615e-02,5.050000000000000000e+01
1.064938351774741720e+00,9.275491261302033774e-02,4.400000000000000000e+01
9.910045919645296131e-01,9.553150951043699879e-02,4.400000000000000000e+01
1.081357888646542698e+00,8.878876280224215489e-02,5.000000000000000000e+01
1.208048952025850609e+00,8.772485603407884081e-02,4.800000000000000000e+01
1.311058446247280296e+00,9.835657925522027500e-02,5.000000000000000000e+01
1.140618822431248791e+00,9.251172632732762580e-02,5.500000000000000711e+01
1.162200387181756556e+00,9.066873727525084914e-02,5.550000000000000711e+01
1.171331002166069002e+00,9.558699084811070334e-02,5.350000000000000000e+01
1.179152054371864100e+00,9.691148026384818759e-02,5.950000000000000000e+01
1.321112467188283013e+00,8.744734143821712713e-02,6.400000000000000000e+01
1.215057696371349527e+00,9.019102959470358394e-02,6.400000000000000000e+01
1.184274561174802898e+00,9.181844016088741567e-02,5.850000000000000000e+01
1.269991650921677317e+00,8.973651494689753594e-02,6.100000000000000000e+01
1.319189881615553395e+00,8.905075760300054655e-02,6.400000000000000000e+01
1.247463800220890207e+00,8.940552423134756621e-02,6.100000000000000000e+01
1.049058697096861836e+00,8.621818957121582527e-02,6.300000000000000000e+01
1.332281530649636725e+00,7.862494736664464579e-02,6.350000000000000000e+01
1.310932127362226529e+00,9.514368387715212150e-02,6.400000000000000000e+01
1.226925667941625386e+00,9.454559772769259574e-02,6.200000000000000000e+01
1.286498972627799775e+00,8.973486814841542814e-02,6.350000000000000000e+01
1.256028728825526963e+00,8.612926506968465734e-02,6.550000000000000000e+01
1.295896469989054056e+00,7.888578022524160571e-02,6.450000000000000000e+01
1.240705154118600939e+00,8.277918373616049985e-02,6.300000000000000000e+01
1.135075514172755984e+00,9.028362767802089461e-02,6.750000000000000000e+01
1.169667753738045990e+00,8.196575497483737927e-02,6.350000000000000000e+01
1.141859325847682571e+00,9.159652156339777307e-02,6.500000000000000000e+01
1.267781163196243233e+00,9.710430180807357037e-02,6.250000000000000000e+01
1.312004645295984817e+00,8.699256017002089669e-02,6.500000000000000000e+01
1.224311301635445881e+00,8.733991927595712024e-02,6.600000000000000000e+01
1.284973661608881823e+00,8.575227437950225240e-02,6.500000000000000000e+01
1.387634463280753794e+00,9.222071010475726971e-02,6.700000000000000000e+01
1.369085467420345648e+00,8.752202609217415996e-02,6.800000000000000000e+01
1.445420288958517263e+00,8.980809053259029839e-02,6.750000000000000000e+01
1.324009165530438237e+00,8.380245837414250498e-02,6.700000000000000000e+01
1.295989100337902711e+00,9.071151579744812787e-02,6.800000000000000000e+01
1.296328398091157297e+00,7.623767618616926478e-02,6.850000000000000000e+01
1.290267156974161722e+00,8.682721849280322646e-02,6.450000000000000000e+01
1.418739523780608858e+00,8.429228005814770608e-02,7.250000000000000000e+01
1.311431004838664149e+00,8.435990054025024887e-02,6.850000000000000000e+01
1.322482572858572736e+00,8.979646120491376060e-02,7.150000000000000000e+01
1.213275456928845086e+00,8.804015823212772707e-02,6.900000000000000000e+01
1.283452983795341451e+00,8.101925831848505455e-02,7.150000000000000000e+01
1.256899550357576834e+00,8.808511856530752693e-02,7.400000000000000000e+01
1.342748220529093706e+00,8.744246170738671775e-02,7.100000000000000000e+01
1.291295901339200913e+00,7.710477608307067521e-02,7.250000000000000000e+01
1.224664787083136419e+00,8.177743152331447274e-02,7.550000000000000000e+01
1.283082439541191500e+00,8.721024794507822864e-02,7.400000000000000000e+01
1.357293563931720293e+00,8.876548329197343767e-02,7.200000000000000000e+01
1.361634682455457046e+00,8.727528886077498549e-02,7.250000000000000000e+01
1.224797649573782232e+00,8.515472331915041604e-02,7.350000000000000000e+01
1.393115490759881725e+00,8.025781609562061825e-02,7.250000000000000000e+01
1.256656160634438413e+00,8.498449122980912540e-02,7.350000000000000000e+01
