Average_Reward,SEM_Reward,Optimal_Action_Percentage
-2.613513947261624989e-02,1.066379732551488158e-01,8.500000000000000000e+00
-2.829366901331313577e-02,9.861881569813175930e-02,8.000000000000000000e+00
-3.218102852731397762e-02,9.864108407253875666e-02,1.050000000000000000e+01
1.140043283575702462e-02,1.045792240322948319e-01,1.000000000000000000e+01
5.453482151334293482e-02,9.811565386617905615e-02,1.150000000000000000e+01
3.438824636527006151e-02,9.118827810979532322e-02,1.000000000000000000e+01
-2.639643410357396525e-02,9.467169139047920678e-02,1.050000000000000000e+01
7.992518105025336883e-02,9.352973953189154532e-02,1.050000000000000000e+01
-1.338544163023324962e-01,9.588821978286983516e-02,8.500000000000000000e+00
-1.492662285022522961e-01,1.066430998830850546e-01,1.200000000000000000e+01
1.102212296955228155e+00,8.906695503579310780e-02,4.150000000000000000e+01
8.943050960888336842e-01,9.178724079509842371e-02,3.600000000000000000e+01
7.591004813007633523e-01,9.120331759599455135e-02,2.950000000000000000e+01
7.015859777356634464e-01,8.353117904025425533e-02,2.700000000000000000e+01
6.857152161699011650e-01,9.685995586150715486e-02,3.100000000000000000e+01
6.829412958078404650e-01,9.696977494226353966e-02,3.250000000000000000e+01
9.540992933299312639e-01,8.796419522731077634e-02,3.450000000000000000e+01
6.930960407381283606e-01,8.907649430708390603e-02,3.200000000000000000e+01
8.410110775889663159e-01,9.489968002530210778e-02,3.350000000000000000e+01
7.706795081423816196e-01,9.987836882230537172e-02,3.150000000000000000e+01
7.799710470343825808e-01,9.727035505540862492e-02,3.450000000000000000e+01
8.693330613826022457e-01,9.180613779618355952e-02,3.500000000000000000e+01
9.492224415889629618e-01,1.056266743276977338e-01,3.500000000000000000e+01
8.893053716367351758e-01,9.830978271744919561e-02,4.000000000000000000e+01
8.918268658337082933e-01,9.517811603110817864e-02,3.550000000000000000e+01
8.592327691475964979e-01,9.941583536225626072e-02,3.700000000000000000e+01
8.301778527196891355e-01,9.479460946447826331e-02,3.650000000000000000e+01
9.729560633808125303e-01,9.365668297980987711e-02,4.250000000000000000e+01
9.139697585598106633e-01,9.246939014211270902e-02,4.150000000000000000e+01
8.694328618271449649e-01,9.833113469853525801e-02,3.750000000000000000e+01
9.081945710350225465e-01,9.395946131285956571e-02,4.000000000000000000e+01
9.632550091853456786e-01,9.598032195801206590e-02,3.400000000000000000e+01
9.887137724477399470e-01,9.545507938301599216e-02,3.900000000000000000e+01
7.271956207428615926e-01,9.499051187814680497e-02,4.050000000000000000e+01
1.015461968142866489e+00,8.612943073197865118e-02,4.250000000000000000e+01
1.026470274744460287e+00,9.570474117830399252e-02,4.500000000000000000e+01
9.316127431572754913e-01,1.028351218900982605e-01,3.850000000000000000e+01
1.019271899358025202e+00,9.655310343250644856e-02,4.400000000000000000e+01
8.314417897807373503e-01,9.611214890166130953e-02,4.050000000000000000e+01
9.409893703532418163e-01,9.625285264443292355e-02,4.450000000000000000e+01
8.989136308799957620e-01,9.279752034974832198e-02,3.900000000000000000e+01
8.122561488064653501e-01,9.701483457630923068e-02,4.700000000000000000e+01
8.041836717882044905e-01,9.874249697292569738e-02,4.300000000000000000e+01
8.139929482787454651e-01,1.032268576374857777e-01,4.250000000000000000e+01
1.004790177781369698e+00,1.046543811627323739e-01,4.450000000000000000e+01
9.850359015366979554e-01,9.290326211791756494e-02,4.100000000000000000e+01
9.224621496098127649e-01,9.297899424278549541e-02,4.300000000000000000e+01
9.867281149199041979e-01,9.532381866014050242e-02,4.700000000000000000e+01
1.168931676140078091e+00,9.691137161815940870e-02,4.750000000000000000e+01
1.129811607320484912e+00,9.505553579283471111e-02,4.900000000000000000e+01
1.129020158965831744e+00,1.004633490083045588e-01,4.850000000000000000e+01
1.081252038936951099e+00,8.961314296304508098e-02,4.750000000000000000e+01
1.063052684842203943e+00,9.813042749329209391e-02,4.700000000000000000e+01
1.016834610693650998e+00,8.523737859720793841e-02,4.900000000000000000e+01
1.048451630780174337e+00,8.923651683013071600e-02,4.500000000000000000e+01
1.178204245565396491e+00,9.012187157672175986e-02,4.450000000000000000e+01
9.898284394001000130e-01,8.990181728369335545e-02,4.300000000000000000e+01
9.903151806340551033e-01,9.492630118427772268e-02,4.250000000000000000e+01
9.761956188890588137e-01,9.347718183294052852e-02,4.850000000000000000e+01
1.017675113949301879e+00,8.731547219786235658e-02,4.800000000000000000e+01
1.035876293451214236e+00,9.848818738397341344e-02,5.699999999999999289e+01
1.124142479535355177e+00,8.980932673677480271e-02,4.950000000000000000e+01
1.020214047640396249e+00,9.021178084634165484e-02,5.050000000000000000e+01
9.877200752817105744e-01,9.173255720122507062e-02,5.050000000000000000e+01
1.082833671289600064e+00,9.159474954852289685e-02,5.850000000000000000e+01
1.094916707801364630e+00,9.739600322647973263e-02,5.450000000000000711e+01
1.081023543174454371e+00,9.417709266834081716e-02,4.700000000000000000e+01
9.273147194392231674e-01,9.529240840938535406e-02,5.000000000000000000e+01
1.092329919488083112e+00,9.600082653807888444e-02,5.100000000000000000e+01
1.020663590219203831e+00,9.065979154622372249e-02,5.450000000000000711e+01
